time,size,unique,min,max,avg,median,error,alive
0,132,43,8,175,25.3333333333,15,0,19
1,229,44,7,133,27.6113537118,20,0,30
2,336,54,5,132,31.7113095238,40,0,40
3,454,88,6,277,43.9713656388,41,0,48
4,560,98,5,141,39.2732142857,42,0,50
5,557,91,5,151,37.3285457810,41,0,50
6,535,74,5,120,32.9065420561,40,0,50
7,531,71,5,131,33.4067796610,40,0,50
8,532,68,5,129,32.8157894737,40,0,50
9,527,62,5,122,32.6280834915,40,0,59
10,645,98,5,170,38.7178294574,42,0,68
11,729,85,5,131,35.1275720165,41,0,78
12,841,90,5,140,37.0665873960,42,0,88
13,951,89,5,156,36.9200841220,41,0,92
14,1024,99,5,136,39.80859375,43,0,100
15,1051,100,5,171,39.9543292103,43,0,100
16,1030,91,5,131,40.6834951456,44,0,100
17,1014,104,5,139,41.9773175542,44,0,100
18,1035,91,5,140,40.1198067633,43,0,100
19,1017,102,5,169,42.4759095379,44,0,104
20,1117,99,5,141,44.5434198747,46,0,117
21,1245,124,5,176,49.7036144578,49,0,127
22,1322,138,6,158,56.7019667171,54,0,136
23,1560,285,5,332,98.5038461538,78,0,148
24,1665,372,5,440,128.5867867868,91,0,150
25,1526,358,5,443,147.6526867628,112,0,150
26,1675,362,5,392,135.5916417910,104,0,150
27,1570,380,6,494,135.4273885350,93,0,150
28,1573,417,6,497,179.6198347107,151,0,154
29,1682,520,6,724,223.2883472057,184,0,165
30,1563,511,6,674,220.3397312860,196,0,168
31,2047,803,5,1029,460.6809965804,486,0,186
32,1583,732,5,869,404.4320909665,432,0,192
33,2268,946,5,1074,587.5022045855,652.5,0,200
34,1642,835,5,1053,558.6516443362,622.5,0,200
35,2174,951,5,1201,695.3068077277,755.5,0,200
36,1506,833,5,1194,695.7264276228,774.5,0,200
37,1843,793,5,1181,754.8334237656,904,0,202
38,1413,683,6,1159,794.3198867657,944,0,204
39,1523,666,6,1457,864.8115561392,1092,0,224
40,1769,783,6,1486,1080.5613340871,1243,0,228
41,1293,656,5,1568,1058.9605568445,1257,0,228
42,2030,757,5,1712,1318.0226600985,1510.5,0,250
43,922,600,5,1589,1000.1431670282,1220.5,0,250
44,1652,680,6,1740,1256.6640435835,1494,0,250
45,1553,470,6,1640,1412.1461687057,1535,0,250
46,1142,458,6,1689,1319.0936952715,1513.5,0,250
47,1820,521,5,1762,1424.3890109890,1562,0,258
48,698,389,5,1763,1290.5558739255,1545,0,258
49,1407,464,6,1872,1549.9353233831,1756,0,257
50,1937,605,5,2196,1680.7960764068,1826,0,288
51,895,572,5,2212,1455.2882681564,1747,0,288
52,1524,656,6,2243,1668.5380577428,1926,0,289
53,1975,619,6,2243,1877.8536708861,2072,0,300
54,980,554,6,2576,1571.5520408163,1929.5,0,300
55,1271,522,5,2405,1834.4783634933,2047,0,300
56,1922,525,5,2390,1934.2148803330,2023,0,302
57,638,355,6,2258,1710.7978056426,2092.5,0,304
58,1284,570,6,2663,1992.8971962617,2149.5,0,304
59,1869,610,6,2710,2174.4537185661,2345,0,336
60,1095,612,6,2842,2090.1525114155,2484,0,340
61,1238,519,6,2779,2129.8012924071,2595,0,340
62,1853,726,6,2806,2238.6314085267,2491,0,341
63,1537,727,6,3097,2406.5829538061,2681,0,350
64,1091,605,6,2963,2164.7626031164,2586,0,350
65,1326,572,6,3019,2411.3936651584,2711,0,350
66,1482,566,6,3065,2434.8738191633,2653,0,350
67,1323,506,6,3091,2603.9198790627,2789,0,370
68,960,406,6,3172,2550.0333333333,2960,0,371
69,1691,594,6,3256,2716.7610881135,3053,0,393
70,1460,768,6,3554,2829.2458904110,3262,0,372
71,1338,709,6,3788,3069.4798206278,3515.5,0,400
72,1129,586,7,3581,2629.6961913198,3208,0,400
73,1674,760,7,3941,2896.8339307049,3200,0,400
74,1294,587,7,4064,2829.5927357032,3283,0,400
75,1053,576,7,3845,3149.6467236467,3485,0,407
76,1279,436,7,3798,3237.1618451916,3555,0,415
77,1421,602,7,3995,3237.7248416608,3573,0,425
78,1541,625,7,6743,3418.1641791045,3725,0,433
79,785,508,7,6744,3206.6891719745,3766,0,415
80,1408,652,7,5753,3668.3877840909,3974,0,450
81,1198,734,7,7826,3584.5901502504,4277,0,453
82,1847,768,7,7252,3853.9355711965,4017,0,453
83,1313,727,8,6319,3608.0190403656,3960,0,453
84,843,572,8,7498,3573.3380782918,4010,0,456
85,776,360,7,7437,3393.9484536082,3965,0,461
86,1501,768,8,7480,4082.5789473684,4227,0,500
87,1874,851,8,7898,3959.3724653148,4314.5,0,500
88,1401,688,8,8013,4326.4118486795,4702,0,493
89,1024,655,8,8494,4240.404296875,4909.5,0,500
90,992,574,8,8483,4461.1683467742,4908,0,500
91,1371,755,9,8183,4108.9496717724,4742,0,500
92,1578,927,9,7980,4192.0025348542,4606,0,500
93,1840,999,8,9814,4503.4309782609,4990,0,500
94,1224,932,8,9590,3722.8741830065,4888.5,0,500
95,1121,846,8,9323,3998.0338983051,5022,0,519
96,1070,691,9,8463,3750.0046728972,5032.5,0,540
97,2030,997,10,9248,4637.3004926108,5331,0,549
98,1326,837,9,9331,3748.3755656109,4993,0,549
99,1902,830,9,8913,4697.5073606730,5797,0,550
100,1173,732,9,8054,4073.6999147485,5485,0,549
101,1319,999,10,7064,4444.6110689917,5369,0,550
102,815,584,9,9852,4157.1546012270,5375,0,550
103,1741,1084,9,10079,4948.4750143596,5814,0,575
104,1808,883,9,10026,5452.8130530973,6239.5,0,575
105,806,406,2590,9338,7186.7605459057,6575,0,587
106,1516,527,5291,11673,6863.8654353562,6663,0,600
